Chromosome,Length(mm),Basepairs,Variations,Confirmedproteins,Putativeproteins,Pseudogenes,miRNA,rRNA,snRNA,snoRNA,MiscncRNA,Centromereposition(Mbp),Cumulative(%)
1,85,259250621,4401091,2012,31,1130,134,66,221,145,106,125,7.9
2,83,253199373,4607702,1203,50,948,115,40,161,117,93,93.3,16.2
3,67,208295559,3894345,1040,25,719,99,29,138,87,77,91,23
4,65,201154276,3673892,718,39,698,92,24,120,56,71,50.4,29.6
5,62,191538259,3436667,849,24,676,83,25,106,61,68,48.4,35.8
6,58,181115067,3360890,1002,39,731,81,26,111,73,67,61,41.6
7,54,169345973,3045992,866,34,803,90,24,90,76,70,59.9,47.1
8,50,156364022,2890692,659,39,568,80,28,86,52,42,45.6,52
9,48,151213431,2581827,785,15,714,69,19,66,51,55,49,56.3
10,46,145534747,2609802,745,18,500,64,32,87,56,56,40.2,60.9
11,46,145006516,2607254,1258,48,775,63,24,74,76,53,53.7,65.4
12,45,143851895,2482194,1003,47,582,72,27,106,62,69,35.8,70
13,39,135169878,1814242,318,8,323,42,16,45,34,36,17.9,73.4
14,36,117043718,1712799,601,50,472,92,10,65,97,46,17.6,76.4
15,35,112531392,1577346,562,43,473,78,13,63,136,39,19,79.3
16,31,91354753,1747136,805,65,429,52,32,53,58,34,36.6,82
17,28,84257441,1491841,1158,44,300,61,15,80,71,46,24,84.8
18,27,81373285,1448602,268,20,59,32,13,51,36,25,17.2,87.4
19,20,60128983,1171356,1399,26,181,110,13,29,31,15,26.5,89.3
20,21,65444167,1206753,533,13,213,57,15,46,37,34,27.5,91.4
21,16,49129895,787784,225,8,150,16,5,21,19,8,13.2,92.6
22,17,52304566,745778,431,21,308,31,5,23,23,23,14.7,93.8
X,53,166040895,2174952,815,23,780,128,22,85,64,52,60.6,99.1
Y,20,60373566,286812,45,8,327,15,7,17,3,2,12.5,100
